Date, Element No, Used interval, SM16 Interval (new), SM17 Interval (new), SM17/SM16 Interval ratio, R (SM16), R (SM17)(exp), R (SM17), Grade, Success, abs RM16, abs RM17 (expected), abs RM17 (predicted), abs R-Metric, sqr R-Metric, Title,
Oct 21 2023 10:27:37,53,1,2,2,0.98,0.975,0.982,0.982,5,1,0.0246,0.018,0.018,0.0066,0.0003,在你创建一个完型填空后，你可以点击按钮，或按下[.]查看你挖空的结果
Oct 21 2023 10:27:45,14,1,2,3,1.61,0.978,0.981,0.981,5,1,0.0218,0.0186,0.0186,0.0032,0.0001,使用 SuperMemo，你只需要记得两个快捷键：  Alt+A - 添加新的问题和回答（新增）  [.] - 重复要学习的材料（学习）
Oct 22 2023 16:23:49,152,2,2,3,1.38,0.889,0.938,0.938,1,0,0.8887,0.9375,0.9375,-0.0489,-0.0893,作为一部编年史，《资治通鉴》按照朝代的先后顺序，讲周朝的部分叫《周纪》，讲秦朝的部分叫《秦纪》，然后是[.]等等，以《后周纪》结尾，因为后周以后就是宋朝，对于司马光来说就不再是古代史，而是当代史了。  每一个“纪”包含若干卷，比如《周纪》一共5卷，第一卷叫《周纪一》，第二卷叫《周纪二》，以此类推。每一卷的开头都会标明本卷内容的起止年份。
Oct 22 2023 16:26:04,163,2,5,3,0.61,0.885,0.937,0.937,4,1,0.1155,0.0626,0.0626,0.0529,0.0094,从编年史的技术角度来看，《资治通鉴》是接着《春秋》和《左传》来写的。  《春秋》站在鲁国的角度，从鲁隐公元年（前722年）开始，结束于鲁哀公十六年（前479年），这是[.]去世的时间。 .
Oct 22 2023 16:26:53,168,2,5,3,0.56,0.881,0.936,0.936,4,1,0.1193,0.0641,0.0641,0.0551,0.0101,从编年史的技术角度来看，《资治通鉴》是接着《春秋》和《左传》来写的。  《春秋》站在鲁国的角度，从鲁隐公元年（前722年）开始，结束于鲁哀公十六年（前479年），这是孔子去世的时间。 .
Oct 22 2023 16:28:09,151,2,5,7,1.35,0.877,0.933,0.933,4,1,0.1227,0.0666,0.0666,0.0561,0.0106,作为一部编年史，《资治通鉴》按照朝代的先后顺序，讲周朝的部分叫《周纪》，讲秦朝的部分叫[.]，然后是《汉纪》、《魏纪》、《晋纪》等等，以《后周纪》结尾，因为后周以后就是宋朝，对于司马光来说就不再是古代史，而是当代史了。  每一个“纪”包含若干卷，比如《周纪》一共5卷，第一卷叫《周纪一》，第二卷叫《周纪二》，以此类推。每一卷的开头都会标明本卷内容的起止年份。
Oct 22 2023 16:32:30,173,2,5,8,1.58,0.876,0.933,0.933,4,1,0.1235,0.0673,0.0673,0.0562,0.0107,正是因为儒家把名分问题摆在了政治学的制高点，所以儒家才有一个别称，叫作[.]，那些扰乱名分规则的人因此被称为“名教罪人”。  这种价值观确实很有迂腐的一面，因为在很多人看来，实实在在的利益比虚无缥缈的名分重要得多，后者完全应该为前者让路。 .
Oct 22 2023 16:33:43,23,2,7,4,0.59,0.885,0.93,0.93,5,1,0.115,0.0695,0.0695,0.0454,0.0084,你可以按下[.]（快捷键）在之前浏览过的卡片列表上前进. 注：就像在网页浏览器里面那样
Oct 22 2023 16:34:00,175,2,5,6,1.18,0.892,0.93,0.93,4,1,0.1075,0.0696,0.0696,0.0379,0.0067,正是因为儒家把名分问题摆在了政治学的制高点，所以儒家才有一个别称，叫作名教，那些扰乱名分规则的人因此被称为“名教罪人”。  这种价值观确实很有迂腐的一面，因为在很多人看来，实实在在的利益比虚无缥缈的名分重要得多，后者完全应该为前者让路。 .
Oct 22 2023 16:35:41,165,2,5,4,0.84,0.899,0.929,0.929,4,1,0.101,0.0711,0.0711,0.0298,0.0051,从编年史的技术角度来看，《资治通鉴》是接着《春秋》和《左传》来写的。  《春秋》站在鲁国的角度，从鲁隐公元年（前722年）开始，结束于鲁哀公十六年（前479年），这是孔子去世的时间。 《左传》作为《春秋》的补充读物，结束于[ .
Oct 22 2023 16:35:47,15,2,7,4,0.54,0.905,0.927,0.927,5,1,0.0951,0.0731,0.0731,0.022,0.0037,使用 SuperMemo，你只需要记得两个快捷键：  [.] - 添加新的问题和回答（新增）  Ctrl+L - 重复要学习的材料（学习）
Oct 22 2023 16:36:07,28,2,4,6,1.43,0.91,0.926,0.926,4,1,0.0897,0.0742,0.0742,0.0156,0.0026,如果你[.]（点击学习按钮），SuperMemo 能确保你记住 95% 学过的内容。每天只有很小比例学习材料会被安排复习。如果你想要确保 95% 的保留率，这个比例是必要的。
Oct 22 2023 16:36:20,16,2,6,7,1.24,0.915,0.925,0.925,5,1,0.0849,0.0754,0.0754,0.0095,0.0015,使用 SuperMemo，你只需要记得两个快捷键：  Alt+A - 添加新的问题和回答（新增）  Ctrl+L - [.]要学习的材料（学习）
